created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2022-10-09T12:36:08Z,310950,49.96,84.49,97.38,2186,-81,65,60,55.58
2022-10-09T12:38:08Z,310951,52.32,88.28,101.42,2188,-80,65,60,57.98
2022-10-09T12:40:08Z,310952,59.28,99.22,113.15,2190,-83,65,60,65.37
2022-10-09T12:42:08Z,310953,55.91,92.87,105.20,2192,-82,65,60,61.15
2022-10-09T12:44:08Z,310954,53.55,90.91,105.41,2194,-78,65,60,59.84
2022-10-09T12:46:08Z,310955,53.30,89.41,100.96,2196,-79,65,60,58.89
2022-10-09T12:48:08Z,310956,68.28,114.15,129.62,2198,-79,65,61,75.30
2022-10-09T12:50:08Z,310957,65.91,109.19,123.37,2200,-80,65,61,71.96
2022-10-09T12:52:08Z,310958,70.88,117.89,132.96,2202,-80,65,61,77.86
2022-10-09T12:54:08Z,310959,64.78,105.33,117.09,2204,-84,65,60,69.51
2022-10-09T12:56:08Z,310960,53.77,89.74,101.26,2206,-80,65,60,59.15
2022-10-09T12:58:08Z,310961,51.89,89.84,100.45,2208,-82,65,61,58.96
2022-10-09T13:00:08Z,310962,52.27,87.14,99.05,2210,-82,65,61,57.43
2022-10-09T13:02:08Z,310963,51.16,84.77,96.56,2212,-82,65,61,55.79
2022-10-09T13:04:08Z,310964,76.96,122.58,136.45,2214,-80,65,61,81.02
2022-10-09T13:06:08Z,310965,89.09,140.00,159.78,2216,-83,65,61,92.62
2022-10-09T13:08:08Z,310966,66.76,108.47,121.40,2218,-81,65,61,71.56
2022-10-09T13:10:08Z,310967,57.55,96.19,109.00,2220,-80,65,60,63.41
2022-10-09T13:12:08Z,310968,53.91,91.89,103.52,2222,-83,65,61,60.50
2022-10-09T13:14:08Z,310969,52.35,88.24,99.48,2224,-87,65,61,57.98
2022-10-09T13:16:08Z,310970,52.19,86.96,99.07,2226,-81,65,61,57.23
2022-10-09T13:18:08Z,310971,52.66,90.46,101.25,2228,-80,65,61,59.61
2022-10-09T13:20:08Z,310972,51.87,88.08,100.70,2230,-83,65,61,57.98
2022-10-09T13:22:08Z,310973,53.66,92.04,102.09,2232,-79,65,60,60.74
2022-10-09T13:24:08Z,310974,52.96,91.05,100.63,2234,-84,64,61,60.00
2022-10-09T13:26:08Z,310975,52.93,87.00,99.24,2236,-80,64,61,57.22
2022-10-09T13:28:08Z,310976,54.11,89.33,99.46,2238,-79,65,61,58.78
2022-10-09T13:30:22Z,310977,52.61,88.43,99.89,2240,-83,64,61,58.19
2022-10-09T13:32:08Z,310978,53.17,90.81,104.77,2242,-81,64,61,59.83
2022-10-09T13:34:08Z,310979,53.49,90.84,102.89,2244,-80,64,61,59.58
2022-10-09T13:36:08Z,310980,53.23,88.46,100.54,2246,-87,64,61,58.04
2022-10-09T13:38:08Z,310981,53.04,88.72,102.42,2248,-81,64,61,58.42
2022-10-09T13:40:08Z,310982,51.70,85.09,96.96,2250,-79,64,61,55.96
2022-10-09T13:42:08Z,310983,52.62,87.48,98.64,2252,-84,64,61,57.66
2022-10-09T13:44:08Z,310984,53.02,88.69,100.76,2254,-81,64,61,58.56
2022-10-09T13:46:20Z,310985,54.51,91.08,105.47,2256,-81,64,61,60.06
2022-10-09T13:48:08Z,310986,55.45,94.47,106.40,2258,-78,64,61,62.24
2022-10-09T13:50:08Z,310987,58.34,96.91,109.66,2260,-81,64,61,63.75
